order,class
Primates,Mammalia
Artiodactyla,Mammalia
Chiroptera,Mammalia
Carnivora,Mammalia
Rodentia,Mammalia
Dasyuromorphia,Mammalia
Cetacea,Mammalia
Perissodactyla,Mammalia
Lagomorpha,Mammalia
Pholidota,Mammalia
Dermoptera,Mammalia
Pilosa,Mammalia
Scandentia,Mammalia
Cingulata,Mammalia
Soricomorpha,Mammalia
Erinaceomorpha,Mammalia
Afrosoricida,Mammalia
Diprotodontia,Mammalia
Paucituberculata,Mammalia
Didelphimorphia,Mammalia
Monotremata,Mammalia
Proboscidea,Mammalia
Macroscelidea,Mammalia
Tubulidentata,Mammalia
Hyracoidea,Mammalia
Peramelemorphia,Mammalia
Notoryctemorphia,Mammalia
Microbiotheria,Mammalia
Sirenia,Mammalia
